# AHRD-Version 3.11

Protein-Accession	Blast-Hit-Accession	AHRD-Quality-Code	Human-Readable-Description	Interpro-ID (Description)	Gene-Ontology-Term
SMED30000439	tr|A0A0V0VAF8|A0A0V0VAF8_9BILA	*-*	Transposon Ty3-I Gag-Pol polyprotein		GO:0003676, GO:0008270
SMED30012426			Unknown protein		
SMED30012425			Unknown protein		
SMED30012428			Unknown protein		
SMED30012427	tr|A0A5J4NFM6|A0A5J4NFM6_9TREM	***	Ubiquitin-conjugating enzyme E2 G1		GO:0000166, GO:0005524, GO:0016740
SMED30012422			Unknown protein		
SMED30012421	sp|Q7SZB4|RL37A_XENLA	***	60S ribosomal protein L37a		GO:0003735, GO:0005840, GO:0006412, GO:0046872
SMED30012424			Unknown protein		
SMED30012423			Unknown protein		
SMED30000440	tr|A0A094ZSN1|A0A094ZSN1_SCHHA	***	Voltage-dependent L-type calcium channel subunit beta-2		GO:0005245, GO:0005891, GO:0070588
SMED30000441			Unknown protein		
SMED30024410	tr|A0A392LXR2|A0A392LXR2_9FABA	*-*	Ty3/gypsy retrotransposon protein		GO:0003676, GO:0015074
SMED30012419	tr|A0A179I1S4|A0A179I1S4_CORDF	*-*	Non-specific serine/threonine protein kinase		GO:0000166, GO:0004672, GO:0004674, GO:0005524, GO:0006468, GO:0016301, GO:0016310, GO:0016740
SMED30012418	tr|A0A3Q0JRQ5|A0A3Q0JRQ5_CIOIN	*-*	selenocysteine insertion sequence-binding protein 2-like isoform X2		GO:0035368
SMED30000448	tr|A0A197JD49|A0A197JD49_9FUNG	***	Cysteine-rich protein		
SMED30024415			Unknown protein		
SMED30000449			Unknown protein		
SMED30024416	tr|F7AVY2|F7AVY2_XENTR	***	Potassium channel tetramerization domain containing 1		GO:0007520, GO:0072114
SMED30000446	tr|A0A195CAP7|A0A195CAP7_9HYME	*-*	DNA-binding protein SATB1		GO:0003677, GO:0005634, GO:0006338
SMED30024417	tr|Q1JPR1|Q1JPR1_SCHMA	*-*	High mobility group protein		GO:0003677, GO:0005634
SMED30000447	tr|A0A4C1Y486|A0A4C1Y486_EUMVA	*-*	BED-type domain-containing protein		GO:0003677
SMED30024418			Unknown protein		
SMED30000444			Unknown protein		
SMED30024411	tr|A0BFM2|A0BFM2_PARTE	*-*	Protein kinase domain-containing protein		GO:0004672, GO:0005524, GO:0006468, GO:0035404
SMED30000445	tr|A0A068WEQ7|A0A068WEQ7_ECHGR	***	Protocadherin 2 gamma c6 sCP1		GO:0005509, GO:0005886, GO:0007155, GO:0007156, GO:0016020, GO:0016021
SMED30024412	tr|G4VPE9|G4VPE9_SCHMA	*-*	Guanine nucleotide-binding protein subunit gamma		GO:0007165, GO:0007186
SMED30000442			Unknown protein		
SMED30024413			Unknown protein		
SMED30000443			Unknown protein		
SMED30024414	tr|R7UW22|R7UW22_CAPTE	***	G_PROTEIN_RECEP_F1_2 domain-containing protein		GO:0004930, GO:0007186, GO:0016020, GO:0016021
SMED30012431	tr|A0A224YK56|A0A224YK56_9ACAR	***	Conserved plasma membrane protein		GO:0016020, GO:0016021
SMED30012430	tr|U4UCN5|U4UCN5_DENPD	*-*	UDENN domain-containing protein		
SMED30012437			Unknown protein		
SMED30012436			Unknown protein		
SMED30012439			Unknown protein		
SMED30012438	tr|A0A131YP83|A0A131YP83_RHIAP	*-*	Pol polyprotein		GO:0003676, GO:0015074
SMED30012433	tr|A0A521B961|A0A521B961_9FLAO	***	Histidine kinase		GO:0000155, GO:0000160, GO:0000166, GO:0004673, GO:0005524, GO:0007165, GO:0016020, GO:0016021, GO:0016301, GO:0016310, GO:0016740, GO:0016772, GO:0018106, GO:0023014
SMED30012432			Unknown protein		
SMED30012435			Unknown protein		
SMED30012434			Unknown protein		
SMED30000451			Unknown protein		
SMED30000452			Unknown protein		
SMED30000450	tr|K1Q447|K1Q447_CRAGI	***	Calcitonin receptor		GO:0004888, GO:0004930, GO:0007165, GO:0007166, GO:0007186, GO:0016020, GO:0016021
SMED30012429			Unknown protein		
SMED30000459	tr|A0A095ALR2|A0A095ALR2_SCHHA	***	Dynamin-1-like protein		GO:0000166, GO:0003924, GO:0005525
SMED30024404	sp|Q5R831|S35B3_PONAB	***	Adenosine 3'-phospho 5'-phosphosulfate transporter 2		GO:0000139, GO:0005794, GO:0016020, GO:0016021, GO:0055085
SMED30024405			Unknown protein		
SMED30000457	tr|W5NHL9|W5NHL9_LEPOC	***	Acyl-CoA synthetase short chain family member 3		GO:0003824
SMED30024406	sp|Q5R4L6|NIT2_PONAB	***	Omega-amidase NIT2		GO:0005737, GO:0006807, GO:0016787, GO:0050152
SMED30000458	tr|A0A4Z2D029|A0A4Z2D029_SCHJA	***	CREB-binding protein		GO:0003712, GO:0004402, GO:0006355, GO:0008270, GO:0016573, GO:0016740, GO:0016746, GO:0042025, GO:0046872
SMED30024407			Unknown protein		
SMED30000455	tr|A0A077KGA1|A0A077KGA1_9FLAO	***	DEAD/DEAH box family ATP-dependent RNA helicase		GO:0000166, GO:0003676, GO:0004386, GO:0005524, GO:0016787
SMED30024400			Unknown protein		
SMED30000456			Unknown protein		
SMED30024401			Unknown protein		
SMED30000453			Unknown protein		
SMED30024402	sp|Q10323|IMT3_SCHPO	*-*	Inositol phosphoceramide mannosyltransferase 3		
SMED30000454			Unknown protein		
SMED30024403			Unknown protein		
SMED30012440	tr|A0A210R643|A0A210R643_MIZYE	***	Voltage-dependent calcium channel gamma-1 subunit		GO:0016020, GO:0016021
SMED30012442			Unknown protein		
SMED30012441	tr|A0A2S2P0Y2|A0A2S2P0Y2_SCHGA	***	DNA_pol_B_2 domain-containing protein		GO:0000166, GO:0003677, GO:0003887, GO:0006260, GO:0071897
SMED30012448	tr|A0A417YRX0|A0A417YRX0_9BACI	*-*	Type II pantothenate kinase		GO:0004594, GO:0005524, GO:0015937, GO:0016301, GO:0016310
SMED30012447	tr|A0A3Q0KB95|A0A3Q0KB95_SCHMA	***	Filamin		GO:0003779
SMED30012449	tr|A0A1S3JYU8|A0A1S3JYU8_LINUN	***	ralBP1-associated Eps domain-containing protein 1 isoform X8		GO:0005509, GO:0006898
SMED30012444			Unknown protein		
SMED30012443			Unknown protein		
SMED30012446	sp|P01122|RHO_APLCA	*-*	Ras-like GTP-binding protein RHO		GO:0000166, GO:0003924, GO:0005525, GO:0005886, GO:0007264, GO:0016020
SMED30012445			Unknown protein		
SMED30000462			Unknown protein		
SMED30000463	tr|A0A210R482|A0A210R482_MIZYE	***	Stromal cell-derived factor 2		GO:0016020
SMED30024430			Unknown protein		
SMED30000460			Unknown protein		
SMED30024431	sp|Q6P4W8|PCH2_XENTR	***	Pachytene checkpoint protein 2 homolog		GO:0000166, GO:0005524, GO:0006302, GO:0007130, GO:0007131, GO:0007283, GO:0030154, GO:0048477, GO:0051321
SMED30000461			Unknown protein		
SMED30024432			Unknown protein		
SMED30024437			Unknown protein		
SMED30024438			Unknown protein		
SMED30000468			Unknown protein		
SMED30024439	tr|A0A0V0RSW6|A0A0V0RSW6_9BILA	*-*	Pol polyprotein		GO:0003676, GO:0015074
SMED30000469	tr|A0A4Y2IXE5|A0A4Y2IXE5_ARAVE	*-*	Transposon Ty3-I Gag-Pol polyprotein		GO:0003676, GO:0015074
SMED30000466			Unknown protein		
SMED30024433	tr|T1HV89|T1HV89_RHOPR	*-*	Dimer_Tnp_hAT domain-containing protein		GO:0046983
SMED30000467	tr|V9XRT9|V9XRT9_SCHMD	***	X1.A.G7.1		GO:0016020, GO:0016021
SMED30024434			Unknown protein		
SMED30000464			Unknown protein		
SMED30024435	tr|A0A4E0R1S0|A0A4E0R1S0_FASHE	*-*	PKC-activated phosphatase-1 inhibitor		GO:0005737, GO:0042325
SMED30000465			Unknown protein		
SMED30024436			Unknown protein		
SMED30012451			Unknown protein		
SMED30012450			Unknown protein		
SMED30012453			Unknown protein		
SMED30012452			Unknown protein		
SMED30024419	tr|A0A0X3NLN7|A0A0X3NLN7_SCHSO	***	Tumor susceptibility gene 101 protein		GO:0006464, GO:0015031
SMED30012459			Unknown protein		
SMED30012458	tr|A0A183THW5|A0A183THW5_SCHSO	***	Importin subunit alpha		GO:0005737, GO:0006606, GO:0015031, GO:0042025, GO:0061608
SMED30012455	sp|P16237|HMDH_SCHMA	***	3-hydroxy-3-methylglutaryl-coenzyme A reductase		GO:0004420, GO:0005777, GO:0005778, GO:0005783, GO:0005789, GO:0006629, GO:0006694, GO:0006695, GO:0008202, GO:0008203, GO:0008299, GO:0015936, GO:0016020, GO:0016021, GO:0016126, GO:0016491, GO:0016616, GO:0050662, GO:0055114
SMED30012454			Unknown protein		
SMED30012457	tr|A0A4Z2D5U8|A0A4Z2D5U8_SCHJA	*-*	5'-AMP-activated protein kinase subunit gamma-1		GO:0016301, GO:0016310
SMED30012456			Unknown protein		
SMED30000473	tr|A0A3R7EZH9|A0A3R7EZH9_CLOSI	***	ATP-dependent RNA helicase DHX8		GO:0000166, GO:0003676, GO:0004386, GO:0005524, GO:0016787
SMED30000474	tr|A0A3N0YVS4|A0A3N0YVS4_ANAGA	*-*	Bromodomain-containing protein 8		GO:0000812, GO:0035267
SMED30000471	tr|A0A5G3KNV0|A0A5G3KNV0_XENTR	*-*	T-box 18		GO:0046983
SMED30024420			Unknown protein		
SMED30000472	tr|A0A388JJM4|A0A388JJM4_CHABU	*-*	DDE-1 domain-containing protein		GO:0003676
SMED30024421			Unknown protein		
SMED30000470	tr|E2C3V3|E2C3V3_HARSA	***	Transmembrane protein 203		GO:0016020, GO:0016021
SMED30024426			Unknown protein		
SMED30024427			Unknown protein		
SMED30000479			Unknown protein		
SMED30024428	tr|A0A2T7I1U0|A0A2T7I1U0_THEOR	*-*	Calmodulin		GO:0005509, GO:0019722, GO:0046872
SMED30024429			Unknown protein		
SMED30000477	tr|A0A4Y2HRJ7|A0A4Y2HRJ7_ARAVE	*-*	Protein lifeguard 1		GO:0016020, GO:0016021
SMED30024422			Unknown protein		
SMED30000478			Unknown protein		
SMED30024423	tr|A0A3B5R187|A0A3B5R187_XIPMA	***	Family with sequence similarity 135 member A		
SMED30000475	tr|A0A267GVI2|A0A267GVI2_9PLAT	***	Bestrophin homolog		GO:0005254, GO:0005886, GO:0006811, GO:0006821, GO:0016020, GO:0016021, GO:0034707, GO:1902476
SMED30024424			Unknown protein		
SMED30000476	tr|A0A2R7X0W4|A0A2R7X0W4_ONCFA	*-*	DDE_Tnp_1_7 domain-containing protein		
SMED30024425			Unknown protein		
SMED30012583	tr|M4M6G6|M4M6G6_HALDV	*-*	Aryl hydrocarbon receptor nuclear translocator		GO:0003700, GO:0005634, GO:0005667, GO:0005737, GO:0006355, GO:0046983
SMED30012582			Unknown protein		
SMED30012585			Unknown protein		
SMED30012584			Unknown protein		
SMED30012581			Unknown protein		
SMED30012580	tr|A0A553MU86|A0A553MU86_9TELE	*-*	Dimer_Tnp_hAT domain-containing protein		GO:0046983
SMED30012587			Unknown protein		
SMED30012586	sp|Q1KL86|EPHA2_MACFA	--*	Ephrin type-A receptor 2		GO:0000166, GO:0001525, GO:0001649, GO:0004672, GO:0004713, GO:0004714, GO:0005003, GO:0005524, GO:0005886, GO:0005887, GO:0005925, GO:0006468, GO:0006915, GO:0007155, GO:0007169, GO:0010591, GO:0016020, GO:0016021, GO:0016301, GO:0016310, GO:0016477, GO:0016740, GO:0018108, GO:0030027, GO:0030054, GO:0030154, GO:0030316, GO:0031256, GO:0031258, GO:0032587, GO:0033598, GO:0033628, GO:0042995, GO:0043491, GO:0045765, GO:0046058, GO:0046849, GO:0048013, GO:0048870, GO:0051898, GO:0060326, GO:0060444, GO:0070309, GO:0070848, GO:0090630, GO:1903078
SMED30012589			Unknown protein		
SMED30012588			Unknown protein		
SMED30024572			Unknown protein		
SMED30024573			Unknown protein		
SMED30024574	tr|A0A4Z2CNC1|A0A4Z2CNC1_SCHJA	***	Nipped-B protein		GO:0003682, GO:0005634, GO:0007049, GO:0010468
SMED30024575			Unknown protein		
SMED30024570	tr|A0A2H1V0B8|A0A2H1V0B8_SPOFR	*-*	SFRICE_004965		GO:0046983
SMED30024571	tr|A0A068WGX4|A0A068WGX4_ECHGR	*-*	Suppressor of cytokine signaling 7		GO:0035556
SMED30024576			Unknown protein		
SMED30024577			Unknown protein		
SMED30024578			Unknown protein		
SMED30024579	tr|Q3KZ56|Q3KZ56_SCHJA	*-*	SJCHGC07397 protein		GO:0005509
SMED30012594			Unknown protein		
SMED30012593	sp|Q62761|KC1G1_RAT	*-*	Casein kinase I isoform gamma-1		
SMED30012596	tr|F7EK85|F7EK85_ORNAN	***	Thiamine pyrophosphokinase		GO:0000166, GO:0004788, GO:0005524, GO:0006772, GO:0009229, GO:0016301, GO:0016310, GO:0016740, GO:0030975, GO:0042802
SMED30012595			Unknown protein		
SMED30012590			Unknown protein		
SMED30012592			Unknown protein		
SMED30012591			Unknown protein		
SMED30012598			Unknown protein		
SMED30012597	tr|M7BM43|M7BM43_CHEMY	*-*	HTH CENPB-type domain-containing protein		GO:0003676, GO:0003677
SMED30012599	sp|Q0IJ33|TM129_XENTR	***	E3 ubiquitin-protein ligase TM129		GO:0005783, GO:0005789, GO:0006986, GO:0016020, GO:0016021, GO:0016567, GO:0016740, GO:0046872, GO:0061630
SMED30024561	tr|A0A4Y2ERJ9|A0A4Y2ERJ9_ARAVE	*-*	Cytochrome c oxidase subunit 5A, mitochondrial		GO:0004129, GO:0005743, GO:0022900, GO:1902600
SMED30024562	tr|A0A504YRR8|A0A504YRR8_FASGI	***	Degenerin unc-8		GO:0005272, GO:0006811, GO:0006814, GO:0016020, GO:0016021, GO:0035725
SMED30024563	tr|A0A4Z2DM67|A0A4Z2DM67_SCHJA	***	Potassium voltage-gated channel subfamily C member 2		GO:0005244, GO:0005249, GO:0005267, GO:0006813, GO:0008076, GO:0016020, GO:0016021, GO:0034765, GO:0051260, GO:0071805
SMED30024564	tr|A0A1S3GXR5|A0A1S3GXR5_LINUN	***	vitamin K epoxide reductase complex subunit 1		GO:0016020, GO:0016021, GO:0042373, GO:0047057, GO:0055114
SMED30024560	tr|A0A087VZX3|A0A087VZX3_ECHMU	*-*	Receptor type tyrosine protein phosphatase zeta		GO:0004721, GO:0004725, GO:0006470, GO:0016020, GO:0016021, GO:0016311, GO:0016787, GO:0016791, GO:0035335
SMED30024569	tr|A0A4Y2FTH4|A0A4Y2FTH4_ARAVE	*-*	Retrovirus-related Pol polyprotein from transposon 297		GO:0004190, GO:0006508
SMED30024565			Unknown protein		
SMED30024566			Unknown protein		
SMED30024567			Unknown protein		
SMED30024568	tr|A0A4E0RXW4|A0A4E0RXW4_FASHE	***	Parathyroid hormone/parathyroid hormone peptide receptor		GO:0004888, GO:0004930, GO:0007165, GO:0007166, GO:0007186, GO:0016020, GO:0016021
SMED30024594			Unknown protein		
SMED30024595			Unknown protein		
SMED30024596	tr|A0A2Y9PV80|A0A2Y9PV80_DELLE	*-*	ADP-ribosylation factor-like protein 2		GO:0000166, GO:0005525
SMED30024597			Unknown protein		
SMED30024590			Unknown protein		
SMED30024591	tr|A0A210Q8Y1|A0A210Q8Y1_MIZYE	*-*	Cysteinyl leukotriene receptor 2		GO:0004930, GO:0007165, GO:0007186, GO:0016020, GO:0016021
SMED30024592			Unknown protein		
SMED30024593	tr|A0A419PPL3|A0A419PPL3_CLOSI	*-*	Zinc finger protein		GO:0003676
SMED30024598			Unknown protein		
SMED30024599	tr|A0A4Y2WK27|A0A4Y2WK27_ARAVE	*-*	Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2		GO:0003676
SMED30024583			Unknown protein		
SMED30024584	tr|A0A210PN75|A0A210PN75_MIZYE	***	Peptidase inhibitor 16		GO:0005576
SMED30024585			Unknown protein		
SMED30024586	sp|P47238|PAX6_COTJA	*-*	Paired box protein Pax-6		GO:0003677, GO:0005634, GO:0006355, GO:0007275, GO:0043565
SMED30024580			Unknown protein		
SMED30024581			Unknown protein		
SMED30024582			Unknown protein		
SMED30024587	tr|W6U1S2|W6U1S2_ECHGR	*-*	TNF receptor-associated factor		GO:0007165, GO:0008270, GO:0042981, GO:0046872
SMED30024588			Unknown protein		
SMED30024589			Unknown protein		
SMED30000518			Unknown protein		
SMED30000519			Unknown protein		
SMED30000516	tr|A0A556TSS4|A0A556TSS4_BAGYA	***	Opsin-5		GO:0004930, GO:0007165, GO:0007186, GO:0007601, GO:0009881, GO:0016020, GO:0016021, GO:0018298, GO:0050896
SMED30000517	tr|A0A077YYE1|A0A077YYE1_TRITR	***	Mitogen activated protein kinase kinase kinase		GO:0004672, GO:0005524, GO:0006468, GO:0016301, GO:0016310
SMED30012503			Unknown protein		
SMED30012502			Unknown protein		
SMED30012505	tr|A0A131YTC6|A0A131YTC6_RHIAP	*-*	Transmembrane protein 164		GO:0016020, GO:0016021
SMED30012504			Unknown protein		
SMED30012501	tr|H2MVH6|H2MVH6_ORYLA	***	Solute carrier family 4 member 1 adaptor protein		
SMED30012500			Unknown protein		
SMED30000525			Unknown protein		
SMED30000526			Unknown protein		
SMED30000523			Unknown protein		
SMED30000524			Unknown protein		
SMED30000521	tr|A0A4C1WZA8|A0A4C1WZA8_EUMVA	***	SCAN domain-containing protein 3		
SMED30000522			Unknown protein		
SMED30000520	tr|G7YSI1|G7YSI1_CLOSI	*-*	Collagen alpha-1(VII) chain		GO:0005581
SMED30000529			Unknown protein		
SMED30000527			Unknown protein		
SMED30000528			Unknown protein		
SMED30012514	tr|A0A419QD00|A0A419QD00_CLOSI	***	Beta-hexosaminidase subunit beta		GO:0004553, GO:0004563, GO:0005975, GO:0016020, GO:0016021
SMED30012513	tr|H2KTR9|H2KTR9_CLOSI	***	Y+L amino acid transporter 2		GO:0016020, GO:0016021, GO:0022857, GO:0055085
SMED30012516	tr|A0A068WK63|A0A068WK63_ECHGR	***	Raf serine:threonine protein kinase		GO:0000166, GO:0004672, GO:0004674, GO:0005524, GO:0006468, GO:0007165, GO:0016301, GO:0016310, GO:0016740, GO:0035556, GO:0046872
SMED30012515			Unknown protein		
SMED30012510	sp|A4II20|EGR1_XENTR	--*	Early growth response protein 1		GO:0003676, GO:0003677, GO:0003700, GO:0005634, GO:0005737, GO:0006355, GO:0008270, GO:0010385, GO:0032922, GO:0043565, GO:0044729, GO:0045893, GO:0045944, GO:0046872, GO:0048511, GO:1990841
SMED30012512			Unknown protein		
SMED30012511			Unknown protein		
SMED30012507			Unknown protein		
SMED30012506			Unknown protein		
SMED30012509	tr|A0A3G2FPT0|A0A3G2FPT0_HETMG	*-*	Kunitz-type protease inhibitor		GO:0004867, GO:0010951
SMED30012508			Unknown protein		
SMED30000536			Unknown protein		
SMED30000537			Unknown protein		
SMED30000534	tr|A0A193KUV5|A0A193KUV5_SCHMD	***	GCR160		GO:0004930, GO:0007165, GO:0007186, GO:0016020, GO:0016021
SMED30000535	tr|A0A1U8D629|A0A1U8D629_ALLSI	***	centrosomal protein of 72 kDa isoform X5		GO:0005813, GO:1904779
SMED30000532			Unknown protein		
SMED30000533			Unknown protein		
SMED30000530	tr|V3ZEA7|V3ZEA7_LOTGI	*-*	Homeobox domain-containing protein		GO:0003677, GO:0005634, GO:0006355, GO:0043565
SMED30000531			Unknown protein		
SMED30024507			Unknown protein		
SMED30024508			Unknown protein		
SMED30000538	tr|A0A0P6F5V7|A0A0P6F5V7_9CRUS	***	Neuropeptides capa receptor		GO:0001607, GO:0004930, GO:0007165, GO:0007186, GO:0007218, GO:0016020, GO:0016021
SMED30024509	tr|I1ZIK2|I1ZIK2_SCHMD	*-*	Retinoblastoma binding protein-1		GO:0005634
SMED30000539	tr|A0A5J4NET6|A0A5J4NET6_9TREM	*-*	Transcriptional regulator ATRX		GO:0005524
SMED30012525			Unknown protein		
SMED30012524			Unknown protein		
SMED30012527			Unknown protein		
SMED30012526	tr|A0A2P8Y5Y2|A0A2P8Y5Y2_BLAGE	***	Zinc transporter ZIP3		GO:0016020, GO:0016021, GO:0030001, GO:0046873, GO:0055085
SMED30012521	sp|P69100|ERH_TAESO	***	Enhancer of rudimentary homolog		GO:0007049
SMED30012520			Unknown protein		
SMED30012523			Unknown protein		
SMED30012522	tr|G7Y8Z7|G7Y8Z7_CLOSI	*-*	Ankyrin-2		GO:0007165
SMED30000540	tr|A0A4Y2M3E9|A0A4Y2M3E9_ARAVE	*-*	Transposon Ty3-G Gag-Pol polyprotein		GO:0003676, GO:0004190, GO:0006508, GO:0015074
SMED30012518			Unknown protein		
SMED30012517	tr|A0A2A3ETL9|A0A2A3ETL9_APICC	*-*	DIRP domain-containing protein		GO:0006351, GO:0017053
SMED30012519			Unknown protein		
SMED30000547			Unknown protein		
SMED30024514	tr|A0A087UTY7|A0A087UTY7_STEMI	*-*	Ras-related protein		GO:0000166, GO:0003924, GO:0005525, GO:0007165, GO:0016020
SMED30000548			Unknown protein		
SMED30024515			Unknown protein		
SMED30000545	tr|A0A1S3JFW2|A0A1S3JFW2_LINUN	*-*	nuclear factor of activated T-cells 5-like		GO:0003677, GO:0003700, GO:0006355
SMED30024516	tr|A0A226EL54|A0A226EL54_FOLCA	***	Mitochondrial folate transporter/carrier		GO:0005347, GO:0015867, GO:0016020, GO:0016021, GO:0055085
SMED30000546	sp|Q8QZV4|ST32C_MOUSE	*-*	Serine/threonine-protein kinase 32C		
SMED30024517	tr|A0A0K8R8C9|A0A0K8R8C9_IXORI	***	Cytochrome b-c1 complex subunit 6		GO:0005739, GO:0005743, GO:0006122, GO:0008121, GO:0016020, GO:0055114, GO:0070469
SMED30000543			Unknown protein		
SMED30024510			Unknown protein		
SMED30000544			Unknown protein		
SMED30024511			Unknown protein		
SMED30000541	tr|H2KNK1|H2KNK1_CLOSI	***	ATP-dependent DNA helicase		GO:0000166, GO:0003676, GO:0003678, GO:0003824, GO:0004386, GO:0005524, GO:0005634, GO:0006260, GO:0006281, GO:0006310, GO:0016787, GO:0032508, GO:0043138, GO:0044237
SMED30024512			Unknown protein		
SMED30000542	tr|K1QH99|K1QH99_CRAGI	***	Abhydrolase domain-containing protein 3		GO:0016020, GO:0016021, GO:0016787
SMED30024513			Unknown protein		
SMED30012530	tr|A0A094ZCU2|A0A094ZCU2_SCHHA	***	Guanine nucleotide-binding protein G(O) subunit alpha		GO:0000166, GO:0003924, GO:0005525, GO:0007165, GO:0007186, GO:0007188, GO:0019001, GO:0031683, GO:0046872
SMED30000549	tr|A0A1V0SGY7|A0A1V0SGY7_9VIRU	***	Serine/threonine protein kinase		GO:0004672, GO:0004674, GO:0005524, GO:0006468, GO:0016301, GO:0016310
SMED30012536			Unknown protein		
SMED30012535			Unknown protein		
SMED30012538			Unknown protein		
SMED30012537	tr|D7GXL4|D7GXL4_TRICA	*-*	Rho_N domain-containing protein		GO:0006353
SMED30012532			Unknown protein		
SMED30012531	tr|A0A504YTB5|A0A504YTB5_FASGI	***	ATP-dependent RNA helicase abstrakt		GO:0000166, GO:0003676, GO:0004386, GO:0005524, GO:0016787
SMED30012534			Unknown protein		
SMED30012533	tr|A0A4S2L9Z5|A0A4S2L9Z5_OPIFE	***	Hexosyltransferase		GO:0000139, GO:0005794, GO:0006486, GO:0016020, GO:0016021, GO:0016740, GO:0016757
SMED30000550			Unknown protein		
SMED30000551			Unknown protein		
SMED30012529			Unknown protein		
SMED30012528			Unknown protein		
SMED30000558	tr|A0A369RXV5|A0A369RXV5_9METZ	*-*	Substance-K receptor		GO:0004930, GO:0007186, GO:0016020, GO:0016021
SMED30024503	tr|A0A482DIP1|A0A482DIP1_9CRUS	***	Glutathione S-transferase zeta		GO:0003824, GO:0005737, GO:0009072, GO:0016740
SMED30000559	tr|A0A0V1M1Q0|A0A0V1M1Q0_9BILA	*-*	Transposon Ty3-I Gag-Pol polyprotein		GO:0003676, GO:0004190, GO:0006508, GO:0008270, GO:0015074
SMED30024504			Unknown protein		
SMED30000556	tr|W6V6X1|W6V6X1_ECHGR	***	39S ribosomal protein L13		GO:0003735, GO:0005840, GO:0006412
SMED30024505			Unknown protein		
SMED30000557			Unknown protein		
SMED30024506			Unknown protein		
SMED30000554			Unknown protein		
SMED30000555	tr|A0A3Q1B3B7|A0A3Q1B3B7_AMPOC	*-*	DDE_3 domain-containing protein		GO:0003677
SMED30024500			Unknown protein		
SMED30000552			Unknown protein		
SMED30024501	tr|A0A2P2I615|A0A2P2I615_9CRUS	*-*	Regulator of nonsense transcripts 3B-like		GO:0000184, GO:0003676
SMED30000553	tr|A0A0P6H013|A0A0P6H013_9CRUS	***	Epithelial discoidin domain-containing receptor		GO:0004672, GO:0004713, GO:0004714, GO:0005524, GO:0006468, GO:0007169, GO:0016020, GO:0016021, GO:0018108
SMED30024502			Unknown protein		
SMED30012541			Unknown protein		
